world_cup_year,home_team,away_team,home_goals,away_goals,match_outcome,goal_diff,home_host_advantage,home_strength,away_strength,stage,home_recent_form,away_recent_form,home_h2h,away_h2h
1958,France,Paraguay,7,3,H,4,0,0.375,0.25,2,0.3333333333333333,0.5,0,0
1958,Hungary,Wales,1,1,D,0,0,0.7272727272727273,0.5,1,0.6666666666666666,0.5,0,0
1958,Scotland,Serbia,1,1,D,0,0,0.0,0.5555555555555556,1,0.16666666666666666,0.5,0,0
1958,Sweden,Mexico,3,0,H,3,1,0.4,0.0,1,0.3333333333333333,0.0,0,0
1958,Argentina,Northern Ireland,3,1,H,2,0,0.5714285714285714,1.0,1,0.0,0.6666666666666666,0,0
1958,Austria,Russia,0,2,A,-2,0,0.6,0.0,1,0.3333333333333333,0.5,0,0
1958,Brazil,England,0,0,D,0,0,0.5555555555555556,0.2857142857142857,1,0.5,0.5,0,0
1958,Czech Republic,Germany,2,2,D,0,0,0.4,0.6923076923076923,1,0.0,1.0,1,0
1958,France,Serbia,2,3,A,-1,0,0.4444444444444444,0.5,1,0.6666666666666666,0.3333333333333333,0,1
1958,Mexico,Wales,1,1,D,0,0,0.0,0.0,1,0.0,0.5,0,0
1958,Paraguay,Scotland,3,2,H,1,0,0.2,0.0,1,0.16666666666666666,0.16666666666666666,0,0
1958,Sweden,Hungary,2,1,H,1,1,0.4545454545454545,0.6666666666666666,1,0.6666666666666666,0.5,1,0
1958,Argentina,Czech Republic,1,6,A,-5,0,0.625,0.3636363636363636,2,0.3333333333333333,0.16666666666666666,0,0
1958,Austria,England,2,2,D,0,0,0.5454545454545454,0.25,1,0.3333333333333333,0.3333333333333333,0,0
1958,Brazil,Russia,2,0,H,2,0,0.5263157894736842,0.5,1,0.5,0.6666666666666666,0,0
1958,France,Scotland,2,1,H,1,0,0.4,0.0,1,0.6666666666666666,0.16666666666666666,0,0
1958,Germany,Northern Ireland,2,2,D,0,0,0.6428571428571429,0.5,1,0.8333333333333334,0.5,0,0
1958,Hungary,Mexico,4,0,H,4,0,0.6153846153846154,0.0,2,0.16666666666666666,0.16666666666666666,0,0
1958,Paraguay,Serbia,3,3,D,0,0,0.3333333333333333,0.5454545454545454,1,0.3333333333333333,0.5,0,0
1958,Sweden,Wales,0,0,D,0,1,0.5,0.0,1,1.0,0.5,0,0
1958,Czech Republic,Northern Ireland,1,2,A,-1,0,0.4166666666666667,0.3333333333333333,1,0.5,0.5,0,1
1958,England,Russia,0,1,A,-1,0,0.2222222222222222,0.3333333333333333,1,0.5,0.5,0,0
1958,Hungary,Wales,1,2,A,-1,0,0.6428571428571429,0.0,1,0.5,0.5,0,0
1958,Brazil,Wales,1,0,H,1,0,0.55,0.25,1,0.8333333333333334,0.6666666666666666,0,0
1958,France,Northern Ireland,4,0,H,4,0,0.4545454545454545,0.5,2,0.6666666666666666,0.5,0,0
1958,Germany,Serbia,1,0,H,1,0,0.6,0.5,1,0.6666666666666666,0.6666666666666666,1,0
1958,Sweden,Russia,2,0,H,2,1,0.4615384615384615,0.5,1,0.8333333333333334,0.6666666666666666,0,0
1958,Brazil,France,5,2,H,3,0,0.5714285714285714,0.5,1,0.8333333333333334,0.6666666666666666,0,0
1958,Sweden,Germany,3,1,H,2,1,0.5,0.625,1,0.8333333333333334,0.6666666666666666,1,0
1958,France,Germany,6,3,H,3,0,0.4615384615384615,0.5882352941176471,1,0.6666666666666666,0.5,0,0
1958,Sweden,Brazil,2,5,A,-3,1,0.5333333333333333,0.5909090909090909,1,0.8333333333333334,1.0,2,0
1962,Argentina,Bulgaria,1,0,H,1,0,0.5555555555555556,0.5,1,0.3333333333333333,0.5,0,0
1962,Brazil,Mexico,2,0,H,2,0,0.6086956521739131,0.0,1,1.0,0.16666666666666666,2,0
1962,Chile,Switzerland,3,1,H,2,1,0.5,0.4166666666666667,1,0.3333333333333333,0.3333333333333333,0,0
1962,Colombia,Uruguay,1,2,A,-1,0,0.5,0.7692307692307693,1,0.5,0.3333333333333333,0,0
1962,Czech Republic,Spain,1,0,H,1,0,0.3846153846153846,0.4444444444444444,1,0.5,0.16666666666666666,0,0
1962,England,Hungary,1,2,A,-1,0,0.2,0.6,1,0.3333333333333333,0.3333333333333333,0,0
1962,Germany,Italy,0,0,D,0,0,0.5555555555555556,0.7142857142857143,1,0.3333333333333333,0.3333333333333333,0,0
1962,Russia,Serbia,2,0,H,2,0,0.4,0.4615384615384615,1,0.3333333333333333,0.5,0,0
1962,Argentina,England,1,3,A,-2,0,0.6,0.1818181818181818,1,0.6666666666666666,0.16666666666666666,0,0
1962,Brazil,Czech Republic,0,0,D,0,0,0.625,0.4285714285714285,1,1.0,0.6666666666666666,1,0
1962,Chile,Italy,2,0,H,2,1,0.5714285714285714,0.6666666666666666,1,0.6666666666666666,0.5,0,0
1962,Uruguay,Serbia,1,3,A,-2,0,0.7857142857142857,0.4285714285714285,1,0.3333333333333333,0.16666666666666666,1,0
1962,Bulgaria,Hungary,1,6,A,-5,0,0.0,0.625,2,0.3333333333333333,0.6666666666666666,0,0
1962,Colombia,Russia,4,4,D,0,0,0.0,0.5,1,0.3333333333333333,0.6666666666666666,0,0
1962,Germany,Switzerland,2,1,H,1,0,0.5263157894736842,0.3846153846153846,1,0.16666666666666666,0.3333333333333333,0,1
1962,Mexico,Spain,0,1,A,-1,0,0.0,0.4,1,0.16666666666666666,0.0,0,0
1962,Argentina,Hungary,0,0,D,0,0,0.5454545454545454,0.6470588235294118,1,0.3333333333333333,0.6666666666666666,0,0
1962,Brazil,Spain,2,1,H,1,0,0.6,0.4545454545454545,1,0.8333333333333334,0.3333333333333333,1,1
1962,Chile,Germany,0,2,A,-2,1,0.625,0.55,1,1.0,0.5,0,0
1962,Russia,Uruguay,2,1,H,1,0,0.4285714285714285,0.7333333333333333,1,0.5,0.3333333333333333,0,0
1962,Bulgaria,England,0,0,D,0,0,0.0,0.25,1,0.16666666666666666,0.3333333333333333,0,0
1962,Colombia,Serbia,0,5,A,-5,0,0.0,0.4666666666666667,2,0.3333333333333333,0.3333333333333333,0,0
1962,Czech Republic,Mexico,1,3,A,-2,0,0.4,0.0,1,0.5,0.0,0,0
1962,Italy,Switzerland,3,0,H,3,0,0.625,0.3571428571428571,1,0.16666666666666666,0.0,2,0
1962,Brazil,England,3,1,H,2,0,0.6153846153846154,0.2307692307692307,1,0.8333333333333334,0.5,0,0
1962,Chile,Russia,2,1,H,1,1,0.5555555555555556,0.5,1,0.6666666666666666,0.8333333333333334,0,0
1962,Czech Republic,Hungary,1,0,H,1,0,0.375,0.6111111111111112,1,0.5,0.8333333333333334,0,0
1962,Germany,Serbia,0,1,A,-1,0,0.5714285714285714,0.5,1,0.8333333333333334,0.6666666666666666,2,0
1962,Chile,Brazil,2,4,A,-2,1,0.6,0.6296296296296297,1,0.6666666666666666,0.8333333333333334,0,0
1962,Czech Republic,Serbia,3,1,H,2,0,0.4117647058823529,0.5294117647058824,1,0.5,1.0,0,0
1962,Chile,Serbia,1,0,H,1,1,0.5454545454545454,0.5,1,0.3333333333333333,0.6666666666666666,0,0
1962,Brazil,Czech Republic,3,1,H,2,0,0.6428571428571429,0.4444444444444444,1,1.0,0.6666666666666666,1,0
1966,England,Uruguay,0,0,D,0,1,0.2142857142857142,0.6875,1,0.5,0.3333333333333333,0,1
1966,Brazil,Bulgaria,2,0,H,2,0,0.6551724137931034,0.0,1,1.0,0.16666666666666666,0,0
1966,Germany,Switzerland,5,0,H,5,0,0.5454545454545454,0.3333333333333333,2,0.6666666666666666,0.0,1,1
1966,North Korea,Russia,0,3,A,-3,0,0.5,0.4444444444444444,1,0.5,0.5,0,0
1966,Argentina,Spain,2,1,H,1,0,0.5,0.4166666666666667,1,0.5,0.3333333333333333,0,0
1966,Chile,Italy,0,2,A,-2,0,0.5833333333333334,0.6470588235294118,1,0.6666666666666666,0.5,1,0
1966,France,Mexico,1,1,D,0,0,0.5,0.0714285714285714,1,0.6666666666666666,0.3333333333333333,2,0
1966,Hungary,Portugal,1,3,A,-2,0,0.5789473684210527,0.5,1,0.5,0.5,0,0
1966,Brazil,Hungary,1,3,A,-2,0,0.6666666666666666,0.55,1,1.0,0.16666666666666666,0,1
1966,Chile,North Korea,1,1,D,0,0,0.5384615384615384,0.0,1,0.3333333333333333,0.3333333333333333,0,0
1966,France,Uruguay,1,2,A,-1,0,0.4666666666666667,0.6470588235294118,1,0.5,0.16666666666666666,0,0
1966,Spain,Switzerland,2,1,H,1,0,0.3846153846153846,0.3125,1,0.3333333333333333,0.0,0,0
1966,Argentina,Germany,0,0,D,0,0,0.5384615384615384,0.5652173913043478,1,0.5,0.6666666666666666,0,1
1966,Bulgaria,Portugal,0,3,A,-3,0,0.0,1.0,1,0.16666666666666666,0.6666666666666666,0,0
1966,England,Mexico,2,0,H,2,1,0.2,0.0666666666666666,1,0.3333333333333333,0.5,0,0
1966,Italy,Russia,0,1,A,-1,0,0.6666666666666666,0.5,1,0.6666666666666666,0.6666666666666666,0,0
1966,Argentina,Switzerland,2,0,H,2,0,0.5,0.2941176470588235,1,0.6666666666666666,0.0,0,0
1966,Brazil,Portugal,1,3,A,-2,0,0.6451612903225806,1.0,1,0.6666666666666666,0.8333333333333334,0,0
1966,Italy,North Korea,0,1,A,-1,0,0.631578947368421,0.0,1,0.6666666666666666,0.3333333333333333,0,0
1966,Mexico,Uruguay,0,0,D,0,0,0.0625,0.6666666666666666,1,0.5,0.5,0,0
1966,Bulgaria,Hungary,1,3,A,-2,0,0.0,0.5714285714285714,1,0.16666666666666666,0.3333333333333333,0,1
1966,Chile,Russia,1,2,A,-1,0,0.5,0.5454545454545454,1,0.5,0.6666666666666666,1,0
1966,England,France,2,0,H,2,1,0.25,0.4375,1,0.5,0.5,0,0
1966,Germany,Spain,2,1,H,1,0,0.5416666666666666,0.4285714285714285,1,0.5,0.3333333333333333,0,0
1966,England,Argentina,1,0,H,1,1,0.2941176470588235,0.5333333333333333,1,0.8333333333333334,0.8333333333333334,0,1
1966,Germany,Uruguay,4,0,H,4,0,0.56,0.631578947368421,2,0.8333333333333334,0.6666666666666666,0,0
1966,Hungary,Russia,1,2,A,-1,0,0.5909090909090909,0.5833333333333334,1,0.6666666666666666,1.0,0,0
1966,North Korea,Portugal,3,5,A,-2,0,0.3333333333333333,1.0,1,0.5,1.0,0,0
1966,Germany,Russia,2,1,H,1,0,0.5769230769230769,0.6153846153846154,1,0.8333333333333334,1.0,0,0
1966,England,Portugal,2,1,H,1,1,0.3333333333333333,1.0,1,1.0,1.0,0,0
